"Location","Day","Date","Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases"
"Diamond Princess","49","10-03-2020",696,6,40,650,46
"Hubei","50","11-03-2020",67773,3046,49134,15593,52180
"China","50","11-03-2020",13148,115,12510,523,12625
"World","50","11-03-2020",57396,1447,5034,50915,6481
"Diamond Princess","50","11-03-2020",696,7,325,364,332
"Hubei","51","12-03-2020",67781,3056,50318,14407,53374
"China","51","12-03-2020",13151,116,12583,452,12699
"World","51","12-03-2020",59866,1541,5098,53227,6639
"Diamond Princess","51","12-03-2020",696,7,325,364,332
"Hubei","52","13-03-2020",67786,3062,51553,13171,54615
"China","52","13-03-2020",13159,118,12643,398,12761
"World","52","13-03-2020",76711,2217,5730,68764,7947
"Diamond Princess","52","13-03-2020",696,7,325,364,332
